,Unnamed: 0,id,title,vendor,category,prod_type,publish,price (MYR),compare_at_price (MYR),weight (grams),available,sku,review
45,45,7.88E+12,"Bootmod3 OTS Maps Bundle For BMW S55 F80 F82 F87 (M2 Competition, M3 & M4)",Bootmod3,Tuning Remap,ECU Remap,2022-10-03T08:59:05+01:00,686,691,100,TRUE,BM3-S55-OTS,[]
46,46,10303397642,"BMS BMW N20 N26 N55 S55 Type B JB1 Stage 1 Tuner (M2 Competition, M135i, M235i, 335i, 435i, M3 & M4)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,1885,,2000,FALSE,F-S55-JB1,"['Purchased a JB4 for my 428i Coupe 2015 N20 , arrived in a well packaged small box . Easy to install and my car has a new lease of life , it is much faster than stock and when throttle is fully pressed the engine seems to respond smoother without screaming as much at high revs , I actually get 2 MPG than before too , since install i use it as a daily driver and I have also driven it to the South of France and back to the UK and covered 4,000 miles without any problems . I am very happy with my purchase and would recommend this product . Sales staff kept me informed With delivery times . \r\nInsta yIIslo\r\n Y II SLO']"
47,47,8326661703,BMS BMW N54 JB4 Speed Limit Defeat Wires (135i & 335i),BMS,Tuning Remap,Tuning Box Accessories,2016-07-19T23:59:00+01:00,70,69,1000,TRUE,E-N54-JB4UG-SLD,[]
48,48,7.11E+12,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,Tuning Remap,ECU Remap,2021-09-30T10:37:55+01:00,3920,4355,100,TRUE,IESOVZ11,['Great service from ML Performance who were responsive and on hand to sort out some issues which were out of their control. I will definitely use them again in the future.']
49,49,7.11E+12,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,Tuning Remap,ECU Remap,2021-09-30T10:37:55+01:00,4356,4840,100,TRUE,IESOVZ12,['Great service from ML Performance who were responsive and on hand to sort out some issues which were out of their control. I will definitely use them again in the future.']
50,50,7.11E+12,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,Tuning Remap,ECU Remap,2021-09-30T10:37:55+01:00,4792,5324,100,TRUE,IESOVZ13,['Great service from ML Performance who were responsive and on hand to sort out some issues which were out of their control. I will definitely use them again in the future.']
51,51,7.11E+12,"Integrated Engineering IE Audi B9 3.0T ECU Tune with TCU Stage 1 (S4, S5 & SQ5)",Integrated Engineering,Tuning Remap,ECU Remap,2021-09-30T10:37:55+01:00,5663,6293,100,TRUE,IESOVZ14,['Great service from ML Performance who were responsive and on hand to sort out some issues which were out of their control. I will definitely use them again in the future.']
52,52,4.68E+12,Integrated Engineering IE Audi Volkswagen 2.0T TSI Gen3 IS38 MQB Performance ECU Remote Tune (MK7/MK7.5 Golf R & 8V/8V.5 S3),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-09T21:15:38+01:00,2454,2727,100,TRUE,IESOVN21,['Notable increase in performance. All round improvement. Helpful guys at ML Performance.']
53,53,4.68E+12,Integrated Engineering IE Audi Volkswagen 2.0T TSI Gen3 IS38 MQB Performance ECU Remote Tune (MK7/MK7.5 Golf R & 8V/8V.5 S3),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-09T21:15:38+01:00,2830,3144,100,TRUE,IESOVN22,['Notable increase in performance. All round improvement. Helpful guys at ML Performance.']
54,54,8217809479,"BMS BMW N55 E82 E84 E90 E92 JB4 (Inc. 135i, 335i & X1)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2263,,2000,FALSE,E-N55-JB4-A,"['What can I say about MLP, from the off the knowledge and assistance has been first class, always ready to assist in any way possible the prices are reasonable and they are always ready to help day ""or night"" the level of willingness and communication doesn\'t stop. I can\'t rate them highly enough.', 'Found the N55 good but lacking power! this item was easy to install within about 20 mins, completely changed the car, without reducing fuel economy.\r\n']"
55,55,8217809479,"BMS BMW N55 E82 E84 E90 E92 JB4 (Inc. 135i, 335i & X1)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2263,,1000,FALSE,E-N55-JB4-B,"['What can I say about MLP, from the off the knowledge and assistance has been first class, always ready to assist in any way possible the prices are reasonable and they are always ready to help day ""or night"" the level of willingness and communication doesn\'t stop. I can\'t rate them highly enough.', 'Found the N55 good but lacking power! this item was easy to install within about 20 mins, completely changed the car, without reducing fuel economy.\r\n']"
56,56,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2594,2620,1000,TRUE,MLP901,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
57,57,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2594,2620,1000,TRUE,MLP902,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
58,58,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2594,2620,1000,TRUE,MLP903,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
59,59,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2594,2620,1000,TRUE,MLP904,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
60,60,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2827,2858,1000,TRUE,MLP905,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
61,61,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2827,2858,1000,TRUE,MLP906,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
62,62,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2827,2858,100,TRUE,MLP907,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
63,63,1.73E+12,"MLP BMW N54 N55 JB4/MHD Custom Remote Tuning/Remap (1M, Z4, 135i & 335i)",ML Performance,Tuning Remap,ECU Remap,2016-07-19T23:59:00+01:00,2827,2858,1000,TRUE,MLP908,"['HI All, Managed to get the custom tune done last year but with the pandemic was having problems booking my car in to a Rolling Road.\r\nAnyway, I did manage a month or so ago, but only getting round to writing a review.\r\nI have a 2007 e93 335i N54 with FBO (Nearly all purchased from MLP). The whole process of loading the tune, changing values and emailing the results was painless and a very quick response, so impressed with options to get more power and there was no rush to say all done, as there was more power gains with every change.\r\nRESULTS:\r\nWith FBO and a OTS MDH map, managed to get 367BHP, I was hoping for around 400 so I contacted and spoke to Marshall for advise. the Advise given was a custom tune. After the tune was complete my car now makes 426BHP!\r\nMany thanks Marshall and the MLP team... \r\n']"
64,64,4.58E+12,"Bootmod3 Remap/Tune License For BMW S58 F97 F98 G80 G82 - FREE ENET CABLE (M3, M4, X3M & X4M)",Bootmod3,Tuning Remap,ECU Remap,2020-03-10T15:42:42+00:00,2802,,100,TRUE,BM3-S58,"['Have bought a number of products from ML and find their communication and delivery to be excellent..\r\nWebsite easy to use\r\nHighly recommended', 'I live in Sweden and i got this super fast home to me! Good quality for the price. ML Performance is my favorite place to go when i need stuff for my BMW m235i. Good customer service!', 'Having tweaked google shopping, add and websites for new products - ML had the best range and delivered the goods. Awesome!', 'Not used as yet but made the most of the Black Friday sale. All my mods have come from ML, as always helpful and kept informed through to delivery.']"
65,65,5.99E+12,"Sprint Booster Porsche Pedal V3 Tuner (inc. 911 Carrera, Boxter, Cayman, Macan & Panamera)",Sprint Booster,Tuning Remap,Tuning Box,2020-12-12T09:39:43+00:00,930,930,2000,TRUE,RSBD165,[]
66,66,1.34E+12,Bluespark BMW B58 Pro Petrol Tuning Module F20 F21 M140i,Bluespark,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,826,870,1000,TRUE,pt-8468,"['Fast, Efficient and friendly service from ML. The bluespark has turned my m140 into an absolute weapon. Previously owned a m4 comp and the speed of the m140 now feels on par. Best bang for your buck!']"
67,67,1.34E+12,Bluespark BMW B58 Pro Petrol Tuning Module F20 F21 M140i,Bluespark,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,1062,1118,1000,TRUE,pt-8468-BT,"['Fast, Efficient and friendly service from ML. The bluespark has turned my m140 into an absolute weapon. Previously owned a m4 comp and the speed of the m140 now feels on par. Best bang for your buck!']"
68,68,3.12E+11,BMS BMW N55 JB4 Tuning Box for Pneumatic Wastegate (M135i & 335i),BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2645,,2000,FALSE,F-N55-F30-JB4-PW,[]
69,69,11393645012,BMS BMW N54 JB3->JB4 Power Wire,BMS,Tuning Remap,Tuning Box Accessories,2017-07-17T16:07:00+01:00,95,,1000,FALSE,N54-JB4-JB3PW,[]
70,70,5.26E+12,"Bootmod3 Remap/Tuning License For BMW S63TU4 F90 F91 F95 - FREE ENET CABLE (M5, M8, X5M, & X6M)",Bootmod3,Tuning Remap,ECU Remap,2025-01-22T06:34:23+00:00,4174,,1000,TRUE,BM3-S63TU4,"[""The durability of ML Performance's car parts is impressive. They have proven to withstand even the harshest driving conditions."", 'Got a BM3 license cheaper than from Protuning freaks, and the license key came pretty much instantly... Top quality service and great customer service for a few questions I had...']"
71,71,9228526922,"BMS BMW N54 JB+ (1M, 135i, 335i & Z4)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,771,1039,1000,FALSE,E-N54-JBP,"['Easy to fit and worthwhile noticeable gains.\r\nJust what I wanted.\r\nI chose this product over a remap because when the times comes to sell the car I can remove the JB+ and sell it seperately thus recouping most of my purchase price.\r\nExcellent service from Marshall too.\r\nWould recommend.', ""Before I reviewed the JB+ I wanted to make sure I'd been running it for a couple of \r\nmonths to ensure I was giving it a fair write up.\r\nInstallation is really as simple as is described, I faffed about taking pictures (for my blog) and it still only took 20mins start to finish. Make sure you use the USB trick though, works a treat. I set my JB+ to 3 o'clock position, which is just under full +4psi (which is how it shipped, although it's supposed to come at 12 o'clock position +3psi).\r\nTo give the car time to learn the new adaptations (fuel/air mix etc) I drove it for about 30mins very steady. Driving steady is supposedly best as this is when the car does it's learning, not at full chat.\r\nThe car didn't feel much different, so I was a bit nervous I'd wasted my money for minimal gains. However, after 30mins I could wait no more, I gave it a blip and instantly felt the difference. I was genuinely shocked how much difference it had made, the car had come alive. It gives you a kick in the back when you floor it, over taking was never a problem, but it really isn't now.\r\nI couldn't recommend it more highly, I know you can get more gains from a JB4, but for the price and ease of fitment, it's great value for money. It hasn't appeared to affect my mpg either, result.""]"
72,72,5.99E+12,"Sprint Booster Porsche Pedal V3 Tuner (inc, 911 Carrera (996), 911 Turbo 996t & Boxter (986))",Sprint Booster,Tuning Remap,Tuning Box,2020-12-12T09:45:02+00:00,1109,1193,2000,TRUE,RSBD166,[]
73,73,4.68E+12,Integrated Engineering IE Audi Volkswagen 2.0T FSI K04 Performance ECU Remote Tune (MK6 Golf R & 8J TTS),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-10T14:39:43+01:00,1958,2175,100,TRUE,IESOVC21,"[""I've had a positive experience with mlp's warranty service. They promptly addressed any issues and provided replacements when needed."", 'Yet again ML Performance delivered.\r\nThank you Marshall Lee and team.', 'I was very pleased with my purchase. \r\nAlso very easy to purchase through ML Performance website, and fast delivery too.\r\nThanks again guys.', 'Buy with confidence']"
74,74,4.68E+12,Integrated Engineering IE Audi Volkswagen 2.0T FSI K04 Performance ECU Remote Tune (MK6 Golf R & 8J TTS),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-10T14:39:43+01:00,2176,2418,100,TRUE,IESOVC22,"[""I've had a positive experience with mlp's warranty service. They promptly addressed any issues and provided replacements when needed."", 'Yet again ML Performance delivered.\r\nThank you Marshall Lee and team.', 'I was very pleased with my purchase. \r\nAlso very easy to purchase through ML Performance website, and fast delivery too.\r\nThanks again guys.', 'Buy with confidence']"
75,75,4.68E+12,Integrated Engineering IE Audi Volkswagen 2.0T FSI K04 Performance ECU Remote Tune (MK6 Golf R & 8J TTS),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-10T14:39:43+01:00,2454,2727,100,TRUE,IESOVC23,"[""I've had a positive experience with mlp's warranty service. They promptly addressed any issues and provided replacements when needed."", 'Yet again ML Performance delivered.\r\nThank you Marshall Lee and team.', 'I was very pleased with my purchase. \r\nAlso very easy to purchase through ML Performance website, and fast delivery too.\r\nThanks again guys.', 'Buy with confidence']"
76,76,4.68E+12,"Integrated Engineering IE Audi 2.0T TSI EA888 Gen1/2 B8 B8.5 Performance ECU Remote Remap Tune (A4 & A5, 8R Q5, C7 A6 & Allroad)",Integrated Engineering,Tuning Remap,ECU Remap,2020-05-09T22:14:28+01:00,1958,2175,100,TRUE,IESOVT21,"['Will always come back to ML Performance.', 'I recently made a purchase through ML performance.. they answered all my questions and gave great advice. The delivery of the items was very swift and accompanied with a thank you and a small token gift.. lovely to receive such great customer service']"
77,77,4.68E+12,"Integrated Engineering IE Audi 2.0T TSI EA888 Gen1/2 B8 B8.5 Performance ECU Remote Remap Tune (A4 & A5, 8R Q5, C7 A6 & Allroad)",Integrated Engineering,Tuning Remap,ECU Remap,2020-05-09T22:14:28+01:00,2176,2418,100,TRUE,IESOVT22,"['Will always come back to ML Performance.', 'I recently made a purchase through ML performance.. they answered all my questions and gave great advice. The delivery of the items was very swift and accompanied with a thank you and a small token gift.. lovely to receive such great customer service']"
78,78,4.68E+12,"Integrated Engineering IE Audi 2.0T TSI EA888 Gen1/2 B8 B8.5 Performance ECU Remote Remap Tune (A4 & A5, 8R Q5, C7 A6 & Allroad)",Integrated Engineering,Tuning Remap,ECU Remap,2020-05-09T22:14:28+01:00,2830,3144,100,TRUE,IESOVT23,"['Will always come back to ML Performance.', 'I recently made a purchase through ML performance.. they answered all my questions and gave great advice. The delivery of the items was very swift and accompanied with a thank you and a small token gift.. lovely to receive such great customer service']"
79,79,7.88E+12,"Bootmod3 OTS Maps Bundle For BMW B48 F Chassis (Inc. 125i, 320i, 430i & 530i)",Bootmod3,Tuning Remap,ECU Remap,2022-10-03T09:21:09+01:00,343,346,1000,TRUE,BM3-B48-OTS,[]
80,80,7.11E+12,"Integrated Engineering IE Audi B9 AL552 ZF8 Transmission Tune (S4, S5 & SQ5)",Integrated Engineering,Tuning Remap,TCU Remap,2021-09-30T10:34:22+01:00,3048,3386,100,TRUE,IESOWB1,['A Great product at a good price combined with fast shipping thanks to the ML Performance team.']
81,81,5.30E+12,"Integrated Engineering IE Audi Volkswagen 8V MK7 DSG DQ250 Transmission Tune (A3, Golf, Golf R & GTI)",Integrated Engineering,Tuning Remap,ECU Remap,2020-06-18T01:59:03+01:00,2612,2902,100,TRUE,IESOVX2,"['Hi ML Performance, thank you very much for your effort. Will be returning customer for sure!']"
82,82,5.30E+12,Integrated Engineering IE Audi 3.0T B8 B8.5 DSG Tune - S-Tronic Transmission (S4 & S5),Integrated Engineering,Tuning Remap,TCU Remap,2020-06-17T22:05:02+01:00,3048,3386,2400,TRUE,IESOVW1,['Called these guys as tracking on parcel said it was delivered by DPD but i never recived the item. Rather than me having the stress of sorting the lost item MLP sorted the entire thing them selfs and sent me a replacement which arrived the day after i called to make them aware. 10/10']
83,83,4.54E+12,Bootmod3 Remap/Tuning License For Toyota B58 A90/J29 Supra - FREE ENET CABLE,Bootmod3,Tuning Remap,ECU Remap,2020-01-29T10:01:37+00:00,2802,,1000,TRUE,BM3-SUPRA,"[""ML Performance's car parts are backed by positive reviews from car enthusiasts and professionals alike. They have earned their reputation."", 'ML delivered this so quick.']"
84,84,1.59E+12,"BMS Audi Group 7 JB4 REV2 SENT (B9 S4, S5, SQ5, RS4 & RS5)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2994,,1000,FALSE,BMS029,"['Have only just installed this jb4 on my 2018 Sq5 ,\r\nInstallation was very simple with the only difficulty being passing the cable for the obd connector through the body into the car .\r\nI watched the installation video and found my car slightly different as it’s right hand drive .\r\nThis means you have a heater duct / grill slightly blocking the view of the grommet which you need to find .\r\nAll done in just over a hour even with the slight delay.\r\nWould recommend this great bit of kit to anyone \r\nI’m running map 5 and it definitely makes me smile \r\nI’m now looking at the **** kit but not sure which kit to go for ,\r\nWant Ultimate safety as I bought this car new and \r\nDo not want to cause any expensive repairs\r\nThink I’m going for the one that connects to the jb4 \r\nNot sure if this one incorporates a low **** indicator so any advice would be great \r\nThanks to MPI for a great service \r\nWould only recommend rapping the box or products in brown paper so the wife doesn’t see them next time lol 👍\ud83c👍\ud83c\r\nCheers PR']"
85,85,11393739988,BMS BMW N54 N55 S55 JB4 Port Injection Control Module,BMS,Tuning Remap,Tuning Box Accessories,2017-08-10T14:18:02+01:00,1653,,2000,FALSE,N54-JB4-PICM,[]
86,86,9191419722,"BMS BMW JB Diesel (JBD) Tuner (330d, 335d and X5d)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,1318,,1000,FALSE,E-JBD,[]
87,87,8.06E+12,"Masata BMW S58 G80 G82 G83 G87 Panel Air Dry Filters (Inc. M2, M3 Competition, M4 & M4 Competition)",Masata,Tuning Remap,Intake System,2023-11-17T07:24:27+00:00,289,299,1800,TRUE,MST2008,"['Delivery is fast and parts are exactly as described. Service and shipment from ML performance as 5 star as ever!', 'The team at ML Performance were absolutely fantastic on their knowledge of the products they sell. The dispatch and service was excellent.', ""Satisfied with the ML Performance Team's goods and service!"", 'Excellent product and great delivery service by mlperformance easy to install and very good quality a must have.', ""mlp's car parts have enhanced the safety features of my vehicle, providing me with peace of mind on the road."", 'ML service is always top notch as well', ""ML Performance's car parts have a wide range of options to cater to different vehicle models. It's a one-stop shop for all car part needs."", ""ML Performance have impressed me. There response and help has been first class which is always a worry when buying at distance, but I needn't have worried."", 'The team at ML are spot on and got this out to me very quickly, have purchased a couple of bits from ML and am very happy with service - highly recommend!!', 'Exceptional service from ML and the delivery time is super quick, highly recommended', 'Will buy it from ML Performance again.', ""mlp's car parts have exceeded my expectations in terms of longevity. They have proven to be reliable and long-lasting."", 'ML took good care of me from my first question onwards - good job guys', 'First order from ml performance, took advantage of a Black Friday deal just before Xmas .. Very pleased with the service I received .. I will definitely purchase from ml performance again in the future', ""MLP's car parts have proven to be durable even in harsh weather conditions. They have held up exceptionally well."", ""First time I've used ML Performance, and I will surely use it again."", 'Worth every penny and pound. Oh I love it. All came professionally boxed and well wrapped, received in perfect condition and easy to fit. Very happy']"
88,88,5.36E+12,"BMS BMW N54 N55 S55 4 Bar TMAP Adapter and Sensor Kit (1M, M2, M2 Competition, M3, M4, 135i, M235i, 335i, 335i & 435i)",BMS,Tuning Remap,Tuning Box Accessories,2020-07-07T18:29:22+01:00,604,,1000,FALSE,BMS121,"['The sensor is great. Easy and quick to install. Needed to swap the O-ring for the bigger one to fit properly and adjust TMAP setting via JB4 but other than that, no issues.']"
89,89,5.36E+12,"BMS BMW N54 N55 S55 4 Bar TMAP Adapter and Sensor Kit (1M, M2, M2 Competition, M3, M4, 135i, M235i, 335i, 335i & 435i)",BMS,Tuning Remap,Tuning Box Accessories,2020-07-07T18:29:22+01:00,604,,1000,FALSE,BMS122,"['The sensor is great. Easy and quick to install. Needed to swap the O-ring for the bigger one to fit properly and adjust TMAP setting via JB4 but other than that, no issues.']"
90,90,5.36E+12,"BMS BMW N54 N55 S55 4 Bar TMAP Adapter and Sensor Kit (1M, M2, M2 Competition, M3, M4, 135i, M235i, 335i, 335i & 435i)",BMS,Tuning Remap,Tuning Box Accessories,2020-07-07T18:29:22+01:00,224,,1000,FALSE,BMS183,"['The sensor is great. Easy and quick to install. Needed to swap the O-ring for the bigger one to fit properly and adjust TMAP setting via JB4 but other than that, no issues.']"
91,91,5.36E+12,"BMS BMW N54 N55 S55 4 Bar TMAP Adapter and Sensor Kit (1M, M2, M2 Competition, M3, M4, 135i, M235i, 335i, 335i & 435i)",BMS,Tuning Remap,Tuning Box Accessories,2020-07-07T18:29:22+01:00,224,,1000,FALSE,BMS184,"['The sensor is great. Easy and quick to install. Needed to swap the O-ring for the bigger one to fit properly and adjust TMAP setting via JB4 but other than that, no issues.']"
92,92,5.30E+12,"Integrated Engineering IE Audi Volkswagen 8V MK7 DSG DQ381 Transmission Tune (A3, S3, GLI, GTI & Golf R)",Integrated Engineering,Tuning Remap,ECU Remap,2020-06-18T01:59:03+01:00,2612,2902,100,TRUE,IESOVX3,"[""MLP's car parts are engineered with precision, ensuring a perfect fit and optimal performance for my vehicle.""]"
93,93,1.56E+12,Bluespark BMW N55 Pro Petrol Tuning Module F20 F21 M135i,Bluespark,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,826,870,1000,TRUE,pt-799,"['Brilliant tuning box and for a good price. Notice a good difference in power delivery, well worth the money and fast delivery. Would highly recommend\r\n']"
94,94,1.56E+12,Bluespark BMW N55 Pro Petrol Tuning Module F20 F21 M135i,Bluespark,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,1062,1118,1000,TRUE,pt-799-BT,"['Brilliant tuning box and for a good price. Notice a good difference in power delivery, well worth the money and fast delivery. Would highly recommend\r\n']"
95,95,10721742356,BMS MINI F56 B38 B46 B48 JB4 Tuning Box (MINI Cooper S & JCW),BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2100,,2000,FALSE,MINI-B48-JB4,[]
96,96,1.59E+12,"BMS Audi & VW Group 8 JB4 Gen3B Beta (A3, A4, A5, Passat & Polo GTI)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2263,,1000,FALSE,BMS030,['Fitted in an hour and works perfectly. :)']
97,97,10720807444,"BMS BMW N20 N26 JB4 Tuning Box (220i, 320i, 420i & 520i)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2127,2148,3000,TRUE,F-N20-JB4-PW,[]
98,98,10720807444,"BMS BMW N20 N26 JB4 Tuning Box (220i, 320i, 420i & 520i)",BMS,Tuning Remap,Tuning Box,2016-07-19T23:59:00+01:00,2645,2782,3000,FALSE,F-N20-JB4-EW,[]
99,99,5.99E+12,"Sprint Booster Audi Pedal Tuner (Inc. 8V A3, B9 A4 & B8 A4)",Sprint Booster,Tuning Remap,Tuning Box,2020-12-12T11:28:27+00:00,1109,1193,2000,TRUE,RSBD202,[]
100,100,4.68E+12,Integrated Engineering IE Audi 2.5T 5 Cylinder Turbo Performance ECU Remote Tune (8V.5 RS3 & 8S TTRS),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-10T14:39:30+01:00,3048,3386,100,TRUE,IESOVO21,"['Top quality service from ML performance, as always.']"
101,101,4.68E+12,Integrated Engineering IE Audi 2.5T 5 Cylinder Turbo Performance ECU Remote Tune (8V.5 RS3 & 8S TTRS),Integrated Engineering,Tuning Remap,ECU Remap,2020-05-10T14:39:30+01:00,3484,3871,100,TRUE,IESOVO22,"['Top quality service from ML performance, as always.']"
102,102,4.60E+12,Evolve BMW E90 E92 E93 M3 Evolve-R ECU Remote Remap,Evolve,Tuning Remap,ECU Remap,2020-03-19T22:40:37+00:00,2441,,1000,FALSE,EVEE9XM3CATPIPE-1,[]
103,103,4.60E+12,Evolve BMW E90 E92 E93 M3 Evolve-R ECU Remote Remap,Evolve,Tuning Remap,ECU Remap,2020-03-19T22:40:37+00:00,3000,,1000,FALSE,EVEE9XM3CATPIPE-2,[]
